libro,autor,editorial,anio_publicacion,num_paginas,formato,categoria,rating,popularidad_libro
Aplicaciones modernas de Ambiental,Esteban Aguilar,Alfaomega,2001,294,Físico,Ambiental,3.01,2
Sistematizacion de Ciencias de la salud,Carlos Pérez,Cambridge Press,2022,592,Digital,Ciencias de la salud,1.25,1
Conocimientos de Ambiental,Nuria Alvarez,Springer,2001,759,Físico,Ambiental,4.14,6
Sistematizacion de Filosofía,Sergio Gomez,Alfaomega,2015,712,Físico,Filosofía,1.37,10
Pilares de la ingeniería Mecanica,Carlos Javier,McGraw-Hill,2012,328,Físico,Mecanica,1.24,1
Procesos de la ingeniería Industrial,Jose Rafael,Oxford Press,2003,271,Físico,Industrial,4.3,7
El gran libro de Handbook de Derecho,Esteban Aguilar,McGraw-Hill,2001,574,Digital,Derecho,4.55,9
Fundamentos de Robotica,Fernando Jimenez,Pearson,2019,644,Físico,Robotica,4.83,4
Calidad en el desarrollo de Mecanica,Andrea Gómez,Pearson,2001,580,Digital,Mecanica,1.27,1
Procesos de la ingeniería Derecho,Julia Herrera,Marcombo,2011,589,Digital,Derecho,0.11,8
Conocimientos de Mecanica,Daniel Martinez,Panamericana,2015,749,Físico,Mecanica,3.03,1
Principios de Artes,Fernando Jimenez,Oxford Press,2017,263,Físico,Artes,0.57,6
Pilares de la ingeniería Economía,Sebastian Raschka,Springer,2005,497,Físico,Economía,1.33,5
Procesos de la ingeniería Civil,Fernando Jimenez,Cambridge Press,2003,345,Físico,Civil,4.49,4
Pilares de la ingeniería Derecho,Daniel Martinez,Alfaomega,2017,173,Digital,Derecho,4.62,10
Calidad en el desarrollo de Industrial,Kenneth E. Kendall,Marcombo,2014,292,Físico,Industrial,4.51,10
Conocimientos de Educación,Ricardo Gualán,Panamericana,2013,147,Digital,Educación,5.0,10
Aplicaciones modernas de Ambiental,Fernando Jimenez,Cengage,2005,294,Digital,Ambiental,4.24,2
Sistematizacion de Biodiversidad y recursos geneticos,Esteban Aguilar,Springer,2015,223,Digital,Biodiversidad y recursos geneticos,4.35,3
El gran libro de Handbook de Ciencias de la salud,Andrea Gómez,Cengage,2000,596,Físico,Ciencias de la salud,1.18,6
Sistematizacion de Arquitectura,Nicolas Sau,Santillana,2022,550,Físico,Arquitectura,3.81,7
El gran libro de Handbook de Informática,Daniel Martinez,Springer,2000,620,Físico,Informática,1.33,4
Calidad en el desarrollo de Ciencias de la salud,Carlos Pérez,Cambridge Press,2011,412,Digital,Ciencias de la salud,1.18,10
El gran libro de Handbook de Informática,Guillermo Pantaleon,Oxford Press,2001,168,Digital,Informática,2.83,1
Pilares de la ingeniería Educación,Alfons Gonzalez,Pearson,2017,341,Digital,Educación,2.53,10
Calidad en el desarrollo de Hoteleria y turismo,Guillermo Pantaleon,Marcombo,2016,146,Digital,Hoteleria y turismo,0.44,4
Conocimientos de Civil,Paul Clements,McGraw-Hill,2011,592,Físico,Civil,2.13,4
El gran libro de Handbook de Hoteleria y turismo,Daniel Martinez,Cengage,2006,777,Digital,Hoteleria y turismo,4.45,9
Fundamentos de Robotica,Sebastian Raschka,Panamericana,2010,764,Digital,Robotica,2.27,1
Procesos de la ingeniería Civil,Nicolas Sau,Panamericana,2014,343,Digital,Civil,3.73,7
Sistematizacion de Educación,Carlos Javier,Springer,2000,634,Digital,Educación,2.41,4
Procesos de la ingeniería Filosofía,Andrea Gómez,Santillana,2008,397,Digital,Filosofía,1.73,7
Sistematizacion de Hoteleria y turismo,Carlos Pérez,McGraw-Hill,2010,769,Físico,Hoteleria y turismo,2.96,4
